timestamp,serverPort,relayDelay
2025-02-14T00:34:47.456Z,3001,3
2025-02-14T00:34:47.462Z,3004,1
2025-02-14T00:34:47.464Z,3006,2
2025-02-14T00:34:47.465Z,3001,3
2025-02-14T00:34:47.468Z,3004,4
2025-02-14T00:34:47.470Z,3006,1
2025-02-14T00:34:47.472Z,3001,3
2025-02-14T00:34:47.473Z,3004,2
2025-02-14T00:34:47.475Z,3006,2
2025-02-14T00:34:47.478Z,3001,3
2025-02-14T00:34:47.480Z,3004,2
2025-02-14T00:34:47.481Z,3006,1
2025-02-14T00:34:47.483Z,3001,3
2025-02-14T00:34:47.485Z,3004,2
2025-02-14T00:34:47.486Z,3006,3
2025-02-14T00:34:47.489Z,3001,2
2025-02-14T00:34:47.491Z,3004,2
2025-02-14T00:34:47.492Z,3006,1
2025-02-14T00:34:47.505Z,3001,2
2025-02-14T00:34:47.508Z,3004,2
2025-02-14T00:34:47.516Z,3006,2
2025-02-14T00:34:47.525Z,3001,3
2025-02-14T00:34:47.534Z,3004,1
2025-02-14T00:34:47.536Z,3006,2
2025-02-14T00:34:47.540Z,3001,3
2025-02-14T00:34:47.544Z,3004,3
2025-02-14T00:34:47.552Z,3006,2
2025-02-14T00:34:47.563Z,3001,2
2025-02-14T00:34:47.565Z,3004,2
2025-02-14T00:34:47.567Z,3006,2
2025-02-14T00:34:47.584Z,3001,3
2025-02-14T00:34:47.586Z,3006,2
2025-02-14T00:34:47.591Z,3001,3
2025-02-14T00:34:47.593Z,3006,1
2025-02-14T00:34:47.594Z,3001,4
2025-02-14T00:34:47.601Z,3006,1
2025-02-14T00:34:47.606Z,3001,3
2025-02-14T00:34:47.608Z,3006,2
2025-02-14T00:34:47.610Z,3001,3
2025-02-14T00:34:47.612Z,3006,1
2025-02-14T00:34:47.613Z,3001,3
2025-02-14T00:34:47.618Z,3006,2
2025-02-14T00:34:47.620Z,3001,2
2025-02-14T00:34:47.622Z,3006,2
2025-02-14T00:34:47.625Z,3001,3
2025-02-14T00:34:47.627Z,3006,2
2025-02-14T00:34:47.633Z,3001,2
2025-02-14T00:34:47.635Z,3006,2
2025-02-14T00:34:47.636Z,3001,6
2025-02-14T00:34:47.637Z,3006,2
2025-02-14T00:34:47.641Z,3001,2
2025-02-14T00:34:47.644Z,3006,2
2025-02-14T00:34:47.645Z,3001,2
2025-02-14T00:34:47.646Z,3006,2
2025-02-14T00:34:47.656Z,3001,10
2025-02-14T00:34:47.657Z,3006,2
2025-02-14T00:34:47.659Z,3001,2
2025-02-14T00:34:47.661Z,3006,2
2025-02-14T00:34:47.665Z,3001,3
2025-02-14T00:34:47.668Z,3006,6
2025-02-14T00:34:47.670Z,3001,2
2025-02-14T00:34:47.672Z,3006,2
2025-02-14T00:34:47.673Z,3001,3
2025-02-14T00:34:47.676Z,3006,2
2025-02-14T00:34:47.679Z,3001,3
2025-02-14T00:34:47.683Z,3006,2
2025-02-14T00:34:47.691Z,3001,2
2025-02-14T00:34:47.692Z,3006,1
2025-02-14T00:34:47.695Z,3001,2
2025-02-14T00:34:47.700Z,3006,1
2025-02-14T00:34:47.702Z,3001,3
2025-02-14T00:34:47.704Z,3006,3
2025-02-14T00:34:47.705Z,3001,2
2025-02-14T00:34:47.706Z,3006,2
2025-02-14T00:34:47.707Z,3001,2
2025-02-14T00:34:47.709Z,3006,3
2025-02-14T00:34:47.710Z,3001,3
2025-02-14T00:34:47.712Z,3006,2
2025-02-14T00:34:47.713Z,3001,3
2025-02-14T00:34:47.718Z,3006,2
2025-02-14T00:34:47.721Z,3001,2
2025-02-14T00:34:47.723Z,3006,1
2025-02-14T00:34:47.725Z,3006,2
2025-02-14T00:34:47.728Z,3006,1
2025-02-14T00:34:47.734Z,3006,1
2025-02-14T00:34:47.738Z,3006,1
2025-02-14T00:34:47.742Z,3006,1
2025-02-14T00:34:47.745Z,3006,2
2025-02-14T00:34:47.750Z,3006,2
2025-02-14T00:34:47.753Z,3006,2
2025-02-14T00:34:47.755Z,3006,2
2025-02-14T00:34:47.758Z,3006,1
2025-02-14T00:34:47.760Z,3006,2
2025-02-14T00:34:47.762Z,3006,1
2025-02-14T00:34:47.767Z,3006,2
2025-02-14T00:34:47.769Z,3006,2
2025-02-14T00:34:47.771Z,3006,1
2025-02-14T00:34:47.774Z,3006,2
2025-02-14T00:34:47.776Z,3006,2
2025-02-14T00:34:47.778Z,3006,2
